"Date","Time (GMT)","Wind Speed (kn)","Wind Dir (deg)","Wind Gust (kn)","Air Temp (°F)","Baro (mb)","Humidity (%)","Visibility (nm)"
"2022/09/20","00:00","3.69","62","6.61","83.3","1015.6","-","-"
"2022/09/20","00:06","5.05","59","7.97","83.3","1015.6","-","-"
"2022/09/20","00:12","5.83","54","8.75","83.3","1015.6","-","-"
"2022/09/20","00:18","4.47","65","7","83.1","1015.5","-","-"
"2022/09/20","00:24","3.69","62","5.64","82.9","1015.5","-","-"
"2022/09/20","00:30","4.28","68","7.19","82.8","1015.6","-","-"
"2022/09/20","00:36","4.86","55","6.41","83.1","1015.6","-","-"
"2022/09/20","00:42","4.08","60","6.41","82.9","1015.6","-","-"
"2022/09/20","00:48","3.11","63","5.44","82.8","1015.6","-","-"
"2022/09/20","00:54","3.11","70","5.44","82.6","1015.6","-","-"
"2022/09/20","01:00","4.28","73","6.41","82.6","1015.6","-","-"
"2022/09/20","01:06","4.47","64","6.8","82.8","1015.7","-","-"
"2022/09/20","01:12","4.67","76","7.39","82.6","1015.8","-","-"
"2022/09/20","01:18","3.89","72","6.61","82.6","1015.8","-","-"
"2022/09/20","01:24","4.86","68","6.41","82.8","1015.9","-","-"
"2022/09/20","01:30","4.08","89","6.22","82.4","1015.9","-","-"
"2022/09/20","01:36","4.86","78","7.19","82.6","1016","-","-"
"2022/09/20","01:42","3.11","78","6.8","82.6","1016.1","-","-"
"2022/09/20","01:48","4.28","81","5.83","82.4","1016.1","-","-"
"2022/09/20","01:54","4.47","78","6.61","82.4","1016.2","-","-"
"2022/09/20","02:00","3.5","86","6.22","82.4","1016.3","-","-"
"2022/09/20","02:06","4.28","82","6.8","82.6","1016.4","-","-"
"2022/09/20","02:12","4.08","86","6.61","82.6","1016.4","-","-"
"2022/09/20","02:18","4.08","71","6.41","82.6","1016.4","-","-"
"2022/09/20","02:24","3.69","82","5.05","82.4","1016.4","-","-"
"2022/09/20","02:30","2.92","76","5.44","82.2","1016.3","-","-"
"2022/09/20","02:36","3.89","75","5.83","82.4","1016.4","-","-"
"2022/09/20","02:42","3.5","74","5.44","82.4","1016.4","-","-"
"2022/09/20","02:48","4.08","73","6.61","82.4","1016.4","-","-"
"2022/09/20","02:54","3.69","71","5.83","82.6","1016.4","-","-"
"2022/09/20","03:00","3.5","75","5.25","82.2","1016.5","-","-"
"2022/09/20","03:06","3.69","82","5.25","82.2","1016.5","-","-"
"2022/09/20","03:12","2.72","71","4.47","82.2","1016.4","-","-"
"2022/09/20","03:18","3.3","65","4.86","82.2","1016.4","-","-"
"2022/09/20","03:24","3.69","61","5.25","82.2","1016.3","-","-"
"2022/09/20","03:30","3.69","72","5.44","82.2","1016.4","-","-"
"2022/09/20","03:36","3.3","75","5.64","82","1016.3","-","-"
"2022/09/20","03:42","3.89","78","5.64","82.2","1016.3","-","-"
"2022/09/20","03:48","4.08","79","5.44","82","1016.2","-","-"
"2022/09/20","03:54","4.08","80","5.44","82","1016.3","-","-"
"2022/09/20","04:00","2.92","66","5.05","82","1016.2","-","-"
"2022/09/20","04:06","3.5","75","4.67","81.9","1016.2","-","-"
"2022/09/20","04:12","3.69","73","5.05","81.9","1016.3","-","-"
"2022/09/20","04:18","3.5","61","4.47","81.9","1016.3","-","-"
