site_date_key,site_number,sample_date,sample_trip,water_depth,temperature,salinity,latitude,longitude
286cc7fc,2,9/24/2022 8:01,2209,35,,,29.11478,-90.2209
10ef41b4,3,9/28/2022 6:58,2209,40,22.8,25.1,29.10319,-90.2005
5e4ec044,4,9/28/2022 5:43,2209,62,23.3,18.6,29.10649,-90.2055
8ffb0cbc,5,9/25/2022 8:21,2209,,31,25.1,29.11165,-90.2249
983b722b,10,9/25/2022 11:24,2209,40,33.1,25.6,29.12191,-90.2248
af8bc475,11,9/25/2022 6:38,2209,38,,25.2,29.11395,-90.2245
a7b5df75,13,9/26/2022 7:50,2209,51,31.1,17.6,29.12913,-90.1568
05244dc3,15,9/29/2022 5:30,2209,19,20.2,20.4,29.1597,-90.229
ed3286d6,23,9/27/2022 5:54,2209,,,,29.1437,-90.2369
41bfdee8,96,9/27/2022 7:22,2209,19,27.2,21,29.12095,-90.2302
7b9bfc39,18,9/26/2022 12:12,2209,53,32.5,25.1,29.12279,-90.1768
9db4ff53,19,9/25/2022 10:58,2209,48,32.5,25.1,29.12095,-90.2227
39a22c63,20,9/28/2022 6:26,2209,32,23.4,22.3,29.1052,-90.2028
3aee966b,21,9/26/2022 10:06,2209,45.5,31.5,25,29.13174,-90.1674
f7bb8461,22,9/29/2022 6:52,2209,26,21.6,21.5,29.16101,-90.2486
f51955eb,108,9/27/2022 7:50,2209,35,27,24.6,29.1256,-90.2312
e49684aa,31,9/27/2022 8:09,2209,26,26.4,24.2,29.12894,-90.2296
da248fc9,24,9/27/2022 8:39,2209,16,27.1,24.2,29.13516,-90.2337
22dc2bdf,30,9/29/2022 7:29,2209,29.5,23.7,20.2,29.16055,-90.2458
4fc39c30,36,9/27/2022 9:52,2209,30,28.6,24.5,29.13484,-90.2315
0d2059f3,32,9/29/2022 7:51,2209,19,23.6,24.3,29.156927,-90.250725
ab165e76,33,9/23/2022 9:21,2209,20,,24,29.14373,-90.1737
7b9ead19,34,9/28/2022 11:08,2209,45,26.4,24.8,29.15666,-90.192
80e424b0,26,9/27/2022 10:18,2209,41,29.5,24.9,29.13526,-90.2299
54b8fc49,38,9/28/2022 10:25,2209,43,24.4,22.1,29.15558,-90.191
124ad590,43,9/26/2022 9:14,2209,68,31.5,24.3,29.1238,-90.1708
618bb6ab,45,9/26/2022 8:21,2209,54,34.5,24.8,29.1219,-90.171
68bb7209,51,9/26/2022 6:26,2209,55.5,33.1,23.7,29.13863,-90.1624
9595edb4,54,9/26/2022 10:30,2209,34,32.8,21.4,29.13335,-90.166
5f2537fb,55,9/28/2022 9:23,2209,17,26,21.7,29.146,-90.2279
77d490c5,58,9/29/2022 4:36,2209,29,19.5,23.6,29.11672,-90.1861
56dad4fd,59,9/26/2022 11:01,2209,38,,25.2,29.12987,-90.1626
4055fb57,60,9/23/2022 11:30,2209,58,,24,29.1435,-90.1711
4cb86d8e,81,9/28/2022 13:24,2209,38,23.9,23.2,29.1363,-90.176
f3f8f037,82,9/28/2022 14:34,2209,56.5,24.4,23.8,29.12907,-90.1771
b7d69942,83,9/28/2022 13:56,2209,29.5,24.4,23.9,29.13289,-90.1752
a479a49f,84,9/25/2022 9:30,2209,45,,25.1,29.11034,-90.2234
ac62b9c3,85,9/26/2022 7:28,2209,46,29.8,21.5,29.1336,-90.1616
a45372ac,87,9/28/2022 7:30,2209,17,26,21.7,29.10404,-90.2012
b5a61449,90,9/25/2022 10:30,2209,43,32.1,25.2,29.11879,-90.2184
b11be902,106,9/27/2022 10:46,2209,47,30,25.1,29.13897,-90.2321
52a8182e,92,9/24/2022 7:50,2209,59,,24.5,29.11327,-90.2214
d0ca5be3,95,9/26/2022 11:36,2209,51.5,32.5,25,29.12709,-90.1637
9293ae26,111,9/27/2022 11:14,2209,27,28.5,24.9,29.13808,-90.2361
79464cf2,98,9/25/2022 12:29,2209,,33.1,23.3,29.12692,-90.2252
c5ec5e0f,102,9/26/2022 9:36,2209,55,31.9,21.6,29.12664,-90.1683
9820d7df,104,9/28/2022 12:49,2209,18,24.5,23.4,29.14081,-90.1695
1f36d182,105,9/25/2022 11:52,2209,26,32.9,24.4,29.12694,-90.2239
91daed95,110,9/27/2022 11:37,2209,28,28.8,25,29.13404,-90.2399
5925e1f7,91,9/27/2022 12:08,2209,33,28,24.3,29.10804,-90.2317
3096ab9a,16,9/27/2022 12:40,2209,23,26.9,23.9,29.09944,-90.2381
90927007,17,9/27/2022 13:37,2209,52,29,24.9,29.1148,-90.1831
bac32223,112,9/28/2022 11:32,2209,28.5,26.6,24.4,29.15986,-90.1909
6abec928,113,9/23/2022 7:21,2209,24,,23.1,29.1393,-90.1739
