"","edge","buffer","sp","best_model","aic","r.sq"
"1",1,100,"CALSAP","CALSAP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, edge_perc, k = 3)",124.483376843179,0.263198596291082
"2",1,100,"CALSAP","CALSAP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3) + ti(edge_l.mangrove,      edge_perc, k = 3)",125.149915800708,0.243887385068291
"3",3,100,"CALSAP","CALSAP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",127.762464248275,0.185395317428528
"4",3,100,"CALSAP","CALSAP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3) + ti(edge_l.mangrove,      edge_perc, k = 3)",125.932205466762,0.234552678770203
"5",5,100,"CALSAP","CALSAP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",125.503719502251,0.20816393025675
"6",5,100,"CALSAP","CALSAP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3) + ti(edge_l.mangrove,      edge_perc, k = 3)",125.35711945888,0.220536757923998
"7",1,150,"CALSAP","CALSAP ~ s(land_water_ratio, k = 4)",112.467121582306,0.352705281593954
"8",1,150,"CALSAP","CALSAP ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",113.555745478207,0.357797683033364
"9",1,150,"CALSAP","CALSAP ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",114.38301155845,0.339420797310903
"10",3,150,"CALSAP","CALSAP ~ s(land_water_ratio, k = 4)",112.467121582306,0.352705281593954
"11",3,150,"CALSAP","CALSAP ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",112.864347191866,0.367505504843361
"12",5,150,"CALSAP","CALSAP ~ s(land_water_ratio, k = 4)",112.467121582306,0.352705281593954
"13",5,150,"CALSAP","CALSAP ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",112.190703675244,0.375966457639963
"14",5,150,"CALSAP","CALSAP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",112.324385366391,0.390984811726133
"15",5,150,"CALSAP","CALSAP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3) + ti(edge_l.mangrove,      edge_perc, k = 3)",113.162810327383,0.397858949807742
"16",1,200,"CALSAP","CALSAP ~ s(land_water_ratio, k = 4)",115.524808653159,0.334877616746891
"17",1,200,"CALSAP","CALSAP ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",117.200784680569,0.322071059337477
"18",1,200,"CALSAP","CALSAP ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",116.223486184497,0.353987189151477
"19",1,200,"CALSAP","CALSAP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, edge_perc, k = 3)",117.122655292318,0.349652483638225
"20",3,200,"CALSAP","CALSAP ~ s(land_water_ratio, k = 4)",115.524808653159,0.334877616746891
"21",3,200,"CALSAP","CALSAP ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",116.923261614526,0.322625938016583
"22",3,200,"CALSAP","CALSAP ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",116.427745685247,0.352909243599864
