"","edge","buffer","sp","best_model","aic","r.sq"
"1",1,100,"CTEBOL","CTEBOL ~ s(land_water_ratio, k = 4)",247.10216215992,0.156154166742232
"2",1,100,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",246.47570093171,0.185242758024572
"3",1,100,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",246.861340534737,0.167648932192863
"4",1,100,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4)",246.699299202959,0.185012888019292
"5",1,100,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, edge_perc, k = 3)",248.333784135715,0.168151304213073
"6",3,100,"CTEBOL","CTEBOL ~ s(land_water_ratio, k = 4)",247.10216215992,0.156154166742232
"7",3,100,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",246.34098884762,0.182410297722345
"8",3,100,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",247.27526860848,0.162694940868024
"9",3,100,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4)",246.884925533601,0.180820254183239
"10",3,100,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",248.228910486939,0.161110682197447
"11",5,100,"CTEBOL","CTEBOL ~ s(land_water_ratio, k = 4)",247.10216215992,0.156154166742232
"12",5,100,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",246.411542789296,0.172216740302914
"13",5,100,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",247.34173238266,0.161806310546304
"14",5,100,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4)",247.064031482103,0.170993982341676
"15",5,100,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",247.905822511705,0.161228192319101
"16",1,150,"CTEBOL","CTEBOL ~ s(land_water_ratio, k = 4)",245.24018935998,0.164449994031607
"17",1,150,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",245.018673539679,0.186460805566336
"18",1,150,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",246.704027833639,0.148395717107879
