"","edge","buffer","sp","best_model","aic","r.sq"
"1",1,20,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4)",246.071623558813,-0.0120809101023942
"2",1,20,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4)",246.329397518721,-0.0180095643012086
"3",1,20,"CTEBOL","CTEBOL ~ s(land_water_ratio, k = 4)",246.261314352481,-0.0149235573035456
"4",1,20,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",247.74430384876,-0.0310431893547538
"5",1,20,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",248.033318822908,-0.0336294508552248
"6",1,20,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",248.03607414511,-0.0361174172937444
"7",1,20,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4) +      ti(edge_l.mangrove, land_water_ratio, k = 3)",246.675658377169,0.0283846261318574
"8",3,20,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4)",245.901014515886,-0.00792360601665854
"9",3,20,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4)",246.390692846007,-0.0190339634267187
"10",3,20,"CTEBOL","CTEBOL ~ s(land_water_ratio, k = 4)",246.261314352481,-0.0149235573035456
"11",3,20,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",247.732781781911,-0.0309851980237144
"12",3,20,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",247.886718285373,-0.0297529615781984
"13",3,20,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + ti(edge_l.mangrove,      edge_perc, k = 3)",246.512740813214,0.0165563623608861
"14",3,20,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4) +      ti(edge_l.mangrove, land_water_ratio, k = 3)",247.617704819417,0.0143989850043285
"15",5,20,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4)",245.881161681363,-0.00783095287510727
"16",5,20,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4)",246.420479720783,-0.0195789977469401
"17",5,20,"CTEBOL","CTEBOL ~ s(land_water_ratio, k = 4)",246.261314352481,-0.0149235573035456
"18",5,20,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",247.777726568898,-0.0312509703481822
"19",5,20,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + ti(edge_l.mangrove,      edge_perc, k = 3)",246.890107735635,0.00956037212188177
"20",5,20,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4) +      ti(edge_l.mangrove, land_water_ratio, k = 3)",247.692198919529,0.0126243577150154
"21",1,30,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4) +      ti(edge_l.mangrove, land_water_ratio, k = 3)",247.954364729275,0.104423050124078
"22",1,30,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",248.741573384007,0.0946872750043025
"23",3,30,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4)",250.093739997427,-0.00900352418848582
"24",3,30,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4)",250.469508540038,-0.0157502952748587
"25",3,30,"CTEBOL","CTEBOL ~ s(land_water_ratio, k = 4)",250.556092165267,-0.0165825480892716
"26",3,30,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",251.765566000162,-0.0290628474095542
"27",3,30,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",252.093170026518,-0.0307685473405994
"28",3,30,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + ti(edge_l.mangrove,      edge_perc, k = 3)",251.803482012695,-0.000773343912247482
"29",3,30,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3) + ti(edge_l.mangrove,      edge_perc, k = 3)",251.999855453203,0.0498606305686424
"30",5,30,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3) + ti(edge_l.mangrove,      edge_perc, k = 3)",246.184792017922,0.102384688544246
"31",1,50,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4)",250.694130067224,-0.0199647176369135
"32",1,50,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4)",250.258031510442,-0.0121110851084634
"33",1,50,"CTEBOL","CTEBOL ~ s(land_water_ratio, k = 4)",249.656479446732,-0.00491553098929987
"34",1,50,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",251.637403300619,-0.0274330327775532
"35",1,50,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",251.319493685799,-0.0244271990187359
"36",3,50,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4)",249.712881187991,-0.00545171082841467
"37",3,50,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4)",250.399716545811,-0.014470264458176
"38",3,50,"CTEBOL","CTEBOL ~ s(land_water_ratio, k = 4)",249.656479446732,-0.00491553098929987
"39",3,50,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",251.552634784227,-0.0271993369719907
"40",3,50,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",251.276018157438,-0.0245057042102552
"41",3,50,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",251.443541788601,-0.0254701337600671
"42",3,50,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + ti(edge_l.mangrove,      edge_perc, k = 3)",251.06876517759,0.00085967195349268
"43",3,50,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, edge_perc, k = 3)",250.399326872267,0.0256487555756124
"44",5,50,"CTEBOL","CTEBOL ~ s(edge_perc, k = 4)",248.929217770102,0.00576156387655313
"45",5,50,"CTEBOL","CTEBOL ~ s(edge_l.mangrove, k = 4)",250.451542555586,-0.0153532459911749
