"","edge","buffer","sp","best_model","aic","r.sq"
"1",1,20,"PENSET","PENSET ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",425.711611923623,0.169882362907546
"2",1,20,"PENSET","PENSET ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4)",426.137462998653,0.167824083503829
"3",1,20,"PENSET","PENSET ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + ti(edge_l.mangrove,      edge_perc, k = 3)",427.581499589356,0.158513543801349
"4",1,20,"PENSET","PENSET ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",427.424722201233,0.148155473892906
"5",3,20,"PENSET","PENSET ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4)",423.55658086643,0.251144903893012
"6",3,20,"PENSET","PENSET ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",424.976131077208,0.241469456722604
"7",3,20,"PENSET","PENSET ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, edge_perc, k = 3)",425.328398944943,0.237470407217029
"8",5,20,"PENSET","PENSET ~ s(edge_l.mangrove, k = 4)",427.882371695768,0.137265075760654
"9",5,20,"PENSET","PENSET ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",427.511166220641,0.162200881072607
"10",5,20,"PENSET","PENSET ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",428.008369928725,0.158819881631436
"11",1,30,"PENSET","PENSET ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",428.367209525133,0.305246557294188
"12",1,30,"PENSET","PENSET ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + ti(edge_l.mangrove,      edge_perc, k = 3)",426.611640299719,0.298569575634954
"13",1,30,"PENSET","PENSET ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, edge_perc, k = 3)",428.297572601549,0.292483349012692
"14",1,30,"PENSET","PENSET ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3) + ti(edge_l.mangrove,      edge_perc, k = 3)",428.524426457492,0.289465885606829
"15",3,30,"PENSET","PENSET ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",435.602131525794,0.169034687178946
"16",3,30,"PENSET","PENSET ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4)",435.83001790544,0.159971472025959
