"","edge","buffer","sp","r_sq","dev_ex","moran_p","cov","p.edge_perc","p.edge_l.mangrove","p.land_water_ratio","p.man_edge"
"1",1,100,"CALSAP",0.263198596291082,0.389012298198657,0.641812193521976,-Inf,0.392628176586113,0.10123644406069,0.000805961692537771,0.0549371216607869
"2",1,150,"CALSAP",0.338457959841158,0.425003751794901,0.784789085661138,-Inf,0.567596462697747,0.990707093676285,8.45158934901225e-05,0.285574910041314
"3",1,200,"CALSAP",0.349652483638225,0.4442189939108,0.610181505369314,-Inf,0.982265507956871,0.261507251761429,0.000135880801357569,0.202353245255257
"4",1,250,"CALSAP",0.249943336094014,0.371275834445097,0.641180728867387,-Inf,0.726686318328854,0.147743269711149,0.000482192987536711,0.224870721443886
"5",1,300,"CALSAP",0.222477989120883,0.316603329703806,0.834555754289103,-Inf,0.0379824384992509,0.025788546455244,8.27647442241397e-05,0.252895682035447
"6",1,400,"CALSAP",0.171728232909805,0.279166631020628,0.789477995515724,-Inf,0.0446289520561717,0.0246262952715304,0.000227740391883724,0.549617548936347
"7",1,500,"CALSAP",0.143229078591726,0.252898158304484,0.707538137600903,-Inf,0.0399011490404539,0.0216061418092249,0.000651240193854652,0.6290709747664
"8",1,600,"CALSAP",0.0860442869756576,0.194243982557405,0.670575184661994,-Inf,0.057132623537943,0.0606077707644971,0.00166558298057617,0.586422686190132
"9",3,100,"CALSAP",0.123311786012844,0.240275178894043,0.430767468794134,-Inf,0.0300879618992639,0.44496641080987,0.000159926737904326,0.427852162638642
"10",3,150,"CALSAP",0.342045343857724,0.422666586815264,0.786157002396293,-Inf,0.358838947759512,0.877682092919173,8.29492562138268e-05,0.61964024003509
"11",3,200,"CALSAP",0.342293836214282,0.432335305573277,0.684485482404221,-Inf,0.969617762023803,0.211218688391282,0.000141750208421443,0.203107358927753
"12",3,250,"CALSAP",0.248874676315545,0.372853603832783,0.670900579879228,-Inf,0.844298510374822,0.112438193678372,0.000335958505750855,0.210427758442559
"13",3,300,"CALSAP",0.246696876192393,0.339649870367249,0.851569572295414,-Inf,0.0427497724434739,0.0177836009352499,4.18930492481762e-05,0.174007971275222
"14",3,400,"CALSAP",0.188532434839406,0.310461791349427,0.802726525105937,-Inf,0.0753503505199575,0.0088162309548892,0.000118376818546428,0.4313264742609
"15",3,500,"CALSAP",0.183116900476546,0.300022394998541,0.683594400201248,-Inf,0.0470203542090119,0.00384133128383179,0.000205772028176454,0.351629275878824
"16",3,600,"CALSAP",0.110956763046327,0.238126155637627,0.639020332152542,-Inf,0.0804129314942981,0.0230491615187989,0.00054382491266769,0.534863019458617
"17",5,100,"CALSAP",0.148685261686775,0.259142916458388,0.450013422831515,-Inf,0.00783757420977854,0.414531934094078,6.99591514374265e-05,0.561186304777523
"18",5,150,"CALSAP",0.351383811229131,0.424781018482801,0.774184870420682,-Inf,0.189353473609134,0.761618066933957,7.83824088295693e-05,0.992359649277165
"19",5,200,"CALSAP",0.345442740813685,0.433562708210231,0.696420889901058,-Inf,0.894383586570556,0.195736752353352,0.000154919503688955,0.285266865419783
"20",5,250,"CALSAP",0.260777774772617,0.387659357693516,0.702542557907655,-Inf,0.725875260153019,0.0756080325427436,0.000283341738245735,0.387604716456861
"21",5,300,"CALSAP",0.27614133142347,0.363426008084056,0.841449323997718,-Inf,0.0405867312685149,0.0123714405947619,3.199700731088e-05,0.116811711337453
"22",5,400,"CALSAP",0.202188407902807,0.328864351392226,0.78866292323051,-Inf,0.104901654689944,0.00464880675253865,0.000126040402360417,0.34931366139299
"23",5,500,"CALSAP",0.205501582551276,0.320883961966254,0.645057856469719,-Inf,0.0560901223142651,0.00200332532657554,0.000145107971319891,0.287591905136064
"24",5,600,"CALSAP",0.130483891624831,0.264175764078908,0.580688472810185,-Inf,0.0868878855842531,0.0067980820918877,0.000278448119644725,0.494981606049039
