"","edge","buffer","sp","r_sq","dev_ex","moran_p","cov","p.edge_perc","p.edge_l.mangrove","p.land_water_ratio","p.man_lwr"
"1",1,100,"PALSP",0.24704381222833,0.37954986455925,0.387755057966658,-Inf,0.00139198317934464,0.0030577213522005,0.948650368735863,0.0620238341620156
"2",1,150,"PALSP",0.252337146366504,0.384404458868821,0.310520136169072,-Inf,0.00111402371108649,0.000570984886378412,0.616926562001215,0.169804777290378
"3",1,200,"PALSP",0.335287889747796,0.445875065391211,0.188383106103058,-Inf,0.000686505584778674,0.000263929573564303,0.909424460677156,0.0570081067086123
"4",1,250,"PALSP",0.394337543297513,0.473146738905363,0.249568265626245,-Inf,0.000509970991342978,0.000483693886081937,0.991635964093802,0.0347383582421406
"5",1,300,"PALSP",0.573505053112637,0.55526844861693,0.426497440037341,-Inf,0.000353125615825678,0.000631762569073602,0.897754478049907,0.123638541631769
"6",1,400,"PALSP",0.485951673275385,0.493975920093249,0.310995697987961,-Inf,0.000196371585100996,0.000625918290609484,0.520002265171178,0.0898646037905338
"7",1,500,"PALSP",0.286789718826057,0.383653515380597,0.249268509561281,-Inf,0.00131784826731574,0.0114120681619648,0.749847983625649,0.0470244142689901
"8",1,600,"PALSP",0.112290023764976,0.246448276120974,0.0821859560527049,-Inf,0.00795607894598571,0.0979038390182927,0.933097774826443,0.531530334247552
"9",3,100,"PALSP",0.0848158238880183,0.175839166704572,0.0301111483908498,-Inf,0.0293915699096275,0.0228966121936887,0.18920024994978,0.136975410099682
"10",3,150,"PALSP",0.26135706459424,0.377174256406581,0.260968776787335,-Inf,0.00284412944233259,0.000679215307392789,0.245528538992599,0.076509534291694
"11",3,200,"PALSP",0.35822603742739,0.41863347422145,0.150151867402111,-Inf,0.00309221280980543,0.0011241080130206,0.576080056987113,0.0276547878698988
"12",3,250,"PALSP",0.399824750217718,0.445253980611565,0.197198846607819,-Inf,0.0010160184923439,0.00172749901477848,0.660244084985083,0.0104758404020905
"13",3,300,"PALSP",0.480909364264291,0.500714827925156,0.18124661473007,-Inf,0.000645733516944191,0.00240326466872465,0.405035077330725,0.0890732599185473
"14",3,400,"PALSP",0.389817461619784,0.423566826907565,0.275027221118135,-Inf,0.000321693390749833,0.0175516545818847,0.456464307123759,0.00579595069429234
"15",3,500,"PALSP",0.318542898434134,0.382503992313428,0.261606322320005,-Inf,0.00039509476150168,0.0217598165721749,0.363223551329934,0.0114131586762679
"16",3,600,"PALSP",0.128540405896269,0.235040916108702,0.114455661827806,-Inf,0.00508323210086042,0.154828380253104,0.758032536534818,0.425615919558195
"17",5,100,"PALSP",0.0804712233739588,0.184570634301314,0.0268525375674342,-Inf,0.0381048599470675,0.0294142040721802,0.0805395898848161,0.182448703828658
"18",5,150,"PALSP",0.241814062331478,0.353211777556767,0.161197285592947,-Inf,0.006958272716654,0.00179461581841034,0.0436835259977518,0.0921823817960106
"19",5,200,"PALSP",0.360200969421942,0.396978032893127,0.0816923643073187,-Inf,0.00916197715478018,0.00348709632499089,0.220942167968134,0.028481697121116
"20",5,250,"PALSP",0.39761785388911,0.424891157466338,0.116821484898108,-Inf,0.00202042155563198,0.00445066796717086,0.247637750222758,0.0100856722225139
"21",5,300,"PALSP",0.384886241309533,0.444295271910836,0.109340280085461,-Inf,0.00126436242989592,0.00662217286717803,0.130553571107877,0.0840767196199092
"22",5,400,"PALSP",0.398174754103435,0.404485964779302,0.162128790199208,-Inf,0.000374291224200296,0.0610849579723233,0.198010788481718,0.0063315503386901
"23",5,500,"PALSP",0.328716546602269,0.37657224719006,0.207953734559717,-Inf,0.000281390164518336,0.0480615591409232,0.113172574580647,0.0108239361161213
"24",5,600,"PALSP",0.126049620111576,0.227489185042189,0.111466500596908,-Inf,0.00669947575672336,0.152624506135711,0.416267606530546,0.296475828443963
