"","edge","buffer","sp","r_sq","dev_ex","moran_p","cov","p.edge_perc","p.edge_l.mangrove","p.land_water_ratio","p.man_lwr"
"1",1,100,"CTEBOL",0.155911110136347,0.288523637143444,0.538801436703273,-Inf,0.0792808086284393,0.54265229283292,0.000206851375683326,0.0389018931402064
"2",1,150,"CTEBOL",0.139805455940263,0.263052763765683,0.43657898326406,-Inf,0.0738188669773751,0.864174818308402,0.000208456068473084,0.0806497213309872
"3",1,200,"CTEBOL",0.131906415371531,0.278412690526336,0.42942593167464,-Inf,0.143640943668446,0.816275636592265,0.00260916742357298,0.498921333670644
"4",1,250,"CTEBOL",0.116748941414497,0.233357576839397,0.428922503761388,-Inf,0.175462010390776,0.803364925192194,0.00508255249454348,0.945197867134139
"5",1,300,"CTEBOL",0.223189826096857,0.363572417256916,0.644399454549552,-Inf,0.242183752845111,0.0946625982201827,0.00349512706510435,0.0971616748283823
"6",1,400,"CTEBOL",0.341659390611913,0.446504166462791,0.86048998723931,-Inf,0.698194140930977,0.00138818123236639,0.000307036697706375,0.000758319317974543
"7",1,500,"CTEBOL",0.290024555098925,0.389213537416462,0.755331059289498,-Inf,0.47461068684036,0.00447870818511553,0.00169214570208048,0.00163018625922118
"8",1,600,"CTEBOL",0.251775927249592,0.392983916553277,0.654012194132037,-Inf,0.568802790441541,0.00409829723348742,0.000675815936656665,0.000976484329179683
"9",3,100,"CTEBOL",0.161110682197447,0.292197155419401,0.564071839263054,-Inf,0.0565501798256201,0.568198117877439,0.00010432892483575,0.0488984742228817
"10",3,150,"CTEBOL",0.145751575490616,0.26958330962525,0.450729759821097,-Inf,0.0624672735291448,0.874285403052801,9.36096344062998e-05,0.0812905724270022
"11",3,200,"CTEBOL",0.12962483510171,0.274070688419124,0.442073642447861,-Inf,0.125730419110129,0.883456965995403,0.00130363895763425,0.42958358231253
"12",3,250,"CTEBOL",0.252492484410139,0.321337326245168,0.611377017944476,-Inf,0.0535929361544976,0.0611842987772421,0.0004130974498055,0.402098550258087
"13",3,300,"CTEBOL",0.259483143503219,0.384175074221629,0.637591419459244,-Inf,0.17935436249094,0.0333113674648691,0.00151018656903074,0.115191772254656
"14",3,400,"CTEBOL",0.33545422344607,0.436533570106856,0.797063520238473,-Inf,0.397446857678003,0.00183754385410884,0.00041820870489695,0.00277051058136268
"15",3,500,"CTEBOL",0.225985148991779,0.315021075887212,0.700845343218266,-Inf,0.0260203545172061,0.0226732318003767,0.000192650502905733,0.0320746243534217
"16",3,600,"CTEBOL",0.240385608218635,0.3775967015204,0.661133422415104,-Inf,0.197704355583136,0.00662478679012418,0.000507074893051573,0.00395082967298904
"17",5,100,"CTEBOL",0.161228192319101,0.295727364136617,0.555831242764481,-Inf,0.0519332644703117,0.582598542361219,4.90558980416056e-05,0.0463904927331797
"18",5,150,"CTEBOL",0.143724219739081,0.272942417778292,0.450505652734167,-Inf,0.0632415288160143,0.895232820229865,5.23042535836016e-05,0.0671214175695684
"19",5,200,"CTEBOL",0.241400931188383,0.356702572118451,0.506066632064869,-Inf,0.104026954770145,0.172822070151169,0.000513020918433638,0.479130117496032
"20",5,250,"CTEBOL",0.250405352393494,0.322836896148912,0.623875712185585,-Inf,0.0489742141597571,0.0625904987349685,0.000230735671732374,0.371286451018891
"21",5,300,"CTEBOL",0.253791108509098,0.378079611320698,0.62365287942953,-Inf,0.169374699651068,0.0348461555501168,0.000947734642987252,0.140301086598708
"22",5,400,"CTEBOL",0.306273481224475,0.413037236465836,0.754439604659493,-Inf,0.285953044985217,0.0038682450522286,0.000526355748823648,0.00743338879670857
"23",5,500,"CTEBOL",0.255491265952066,0.35217327785519,0.687455250349983,-Inf,0.0216605359514005,0.00752397077602551,7.69996968114639e-05,0.0850424738090415
"24",5,600,"CTEBOL",0.189614456755696,0.310003827083866,0.701444135205057,-Inf,0.0323810780355443,0.0267499423371356,7.33643577020548e-05,0.0362313003580022
