"","edge","buffer","sp","r_sq","dev_ex","moran_p","cov","p.edge_perc","p.edge_l.mangrove","p.land_water_ratio","p.man_edge"
"1",1,20,"PENSET",0.160005572437019,0.254045599781733,0.165470064965085,-Inf,0.0111746504194551,0.000349143787195416,0.2029674087395,0.733306532930954
"2",1,30,"PENSET",0.292483349012692,0.370885206477005,0.209609221805627,-Inf,0.00393082958123514,0.00445185725545749,0.607607090700637,0.0684632074371277
"3",1,50,"PENSET",0.248976192600929,0.308361381200704,0.0826703052998809,-Inf,0.00201905036255484,0.00710459060143287,0.877951870663543,0.645339519502925
"4",1,70,"PENSET",0.256643239573095,0.321128111762453,0.239468921067004,-Inf,0.0350907839869327,0.00116130875890119,0.300519185221401,0.0362812430012208
"5",1,100,"PENSET",0.345503438407769,0.411282969164854,0.709058680279338,-Inf,0.0181690924753394,0.00700015646189911,0.0426951410145366,0.0102240306644311
"6",1,120,"PENSET",0.296088026440368,0.366182163683355,0.571645714460427,-Inf,0.0419425646737016,0.0112943855366829,0.0366675531448397,0.0248550200380132
"7",1,150,"PENSET",0.264515526539272,0.346260087954946,0.608332857131858,-Inf,0.0149311136830759,0.0115655612935824,0.030108745297209,0.0449728592510498
"8",3,20,"PENSET",0.237470407217029,0.332298076975645,0.0946898623997125,-Inf,0.013919185469227,0.000254855813834387,0.0406036560532748,0.681006861407883
"9",3,30,"PENSET",0.118332625616091,0.239008331687019,0.00499965678061353,-Inf,0.0510215130616193,0.0247326467047556,0.372501082908049,0.527427168535063
"10",3,50,"PENSET",0.176185171900457,0.250238504120959,0.00818867120304035,-Inf,0.0399651056448864,0.0122066889386511,0.336263281852188,0.436540532012086
"11",3,70,"PENSET",0.159101632778843,0.306382462501927,0.0848817531158004,-Inf,0.185312712677652,0.00159834660147268,0.0861206141557703,0.034933891653973
"12",3,100,"PENSET",0.254637959170136,0.361998801979017,0.227603584211902,-Inf,0.171432916361949,0.0121918382881469,0.0213403685304975,0.0522362288272586
"13",3,120,"PENSET",0.17867793065947,0.291183081577093,0.107590535629986,-Inf,0.367104661145022,0.0131466646965301,0.0501806390028742,0.233120181153646
"14",3,150,"PENSET",0.130793111709667,0.230687186213636,0.131096779507332,-Inf,0.194460282456659,0.0191016072998482,0.0732368650081888,0.196005552152482
"15",5,20,"PENSET",0.187996363752686,0.295690496652386,0.05700405805,0.839154927257674,0.0441131884518624,0.000604271393088829,0.0806428718481796,0.712153375082477
"16",5,30,"PENSET",0.158090883473157,0.239407097444611,0.00460103401120408,-Inf,0.134997541243631,0.00463864789036833,0.326699208532196,0.311596296367803
"17",5,50,"PENSET",0.115119363608188,0.256058746804049,0.00347648717740181,-Inf,0.107705847150489,0.00777982315696418,0.34492697967972,0.323596764537826
"18",5,70,"PENSET",0.112763901169121,0.268962805613112,0.0310996943810244,-Inf,0.999053726093286,0.00503378887895123,0.116603983142779,0.437465214524807
"19",5,100,"PENSET",0.175368501280791,0.306722257653382,0.056716424278784,-Inf,0.714347411328053,0.0162936529466138,0.0603380187659615,0.260169745554678
"20",5,120,"PENSET",0.11817491932322,0.233171895994594,0.0283891678883682,-Inf,0.590689443913271,0.00893385816192549,0.151410244245383,0.800236713825536
"21",5,150,"PENSET",0.112374199764558,0.214165876516139,0.0464422133640483,-Inf,0.843142100206174,0.0111890862100784,0.164341286565128,0.692330134009977
