"","formula","aic","r.sq"
"1","CTEBOL ~ s(edge_perc, k = 4)",249.33105220011,0.00803761819319937
"2","CTEBOL ~ s(edge_l.mangrove, k = 4)",250.173225491797,-0.0104948471444259
"3","CTEBOL ~ s(land_water_ratio, k = 4)",238.535775387629,0.142701405077765
"4","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",251.154439720109,-0.0103040728134405
"5","CTEBOL ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",240.015219319354,0.130247660773655
"6","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",238.986773730238,0.136447162763746
"7","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4)",240.812888882886,0.119367979744094
"8","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + ti(edge_l.mangrove,      edge_perc, k = 3)",252.683111440276,-0.00134276416790446
"9","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4) +      ti(edge_l.mangrove, land_water_ratio, k = 3)",233.76281563213,0.226541792865608
"10","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",235.51913815818,0.206069754584712
"11","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, edge_perc, k = 3)",242.923585891035,0.1023959522751
"12","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3) + ti(edge_l.mangrove,      edge_perc, k = 3)",236.390471960614,0.177945758804338
