"","formula","aic","r.sq"
"1","PALSP ~ s(edge_perc, k = 4)",392.80081500132,0.0680297967647491
"2","PALSP ~ s(edge_l.mangrove, k = 4)",393.218697519586,0.0361322058714471
"3","PALSP ~ s(land_water_ratio, k = 4)",395.684007643694,0.00813422302003497
"4","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",390.376923012698,0.107202745810371
"5","PALSP ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",394.795051962176,0.0492741328464466
"6","PALSP ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",393.097361594878,0.0146959746839049
"7","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4)",390.762040422257,0.0853355971405283
"8","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + ti(edge_l.mangrove,      edge_perc, k = 3)",382.847309250524,0.273417037103016
"9","PALSP ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4) +      ti(edge_l.mangrove, land_water_ratio, k = 3)",394.844376549503,0.00375867731422985
"10","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",381.598926830693,0.193723502093353
"11","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, edge_perc, k = 3)",383.594441893486,0.250099348715785
"12","PALSP ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3) + ti(edge_l.mangrove,      edge_perc, k = 3)",383.014333434186,0.252337146366504
