"","formula","aic","r.sq"
"1","CTEBOL ~ s(edge_perc, k = 4)",245.384995298364,0.0829622464382858
"2","CTEBOL ~ s(edge_l.mangrove, k = 4)",250.402206692817,-0.0144165346090237
"3","CTEBOL ~ s(land_water_ratio, k = 4)",238.543079138895,0.140721103661932
"4","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4)",247.310042645643,0.0655809995833148
"5","CTEBOL ~ s(edge_perc, k = 4) + s(land_water_ratio, k = 4)",239.427858812962,0.140045159816314
"6","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4)",240.193576785208,0.122960714957252
"7","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4)",241.321018015222,0.121257679449821
"8","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + ti(edge_l.mangrove,      edge_perc, k = 3)",247.119679322518,0.0820912720014765
"9","CTEBOL ~ s(edge_l.mangrove, k = 4) + s(land_water_ratio, k = 4) +      ti(edge_l.mangrove, land_water_ratio, k = 3)",238.03147642656,0.157899422644872
"10","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3)",240.095295105125,0.143505762928645
"11","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, edge_perc, k = 3)",243.443467023069,0.105535520433716
"12","CTEBOL ~ s(edge_perc, k = 4) + s(edge_l.mangrove, k = 4) + s(land_water_ratio,      k = 4) + ti(edge_l.mangrove, land_water_ratio, k = 3) + ti(edge_l.mangrove,      edge_perc, k = 3)",234.339951555973,0.206548226121154
